mean,speaker,start_second,t_center,t_end
208.52535307574087,BAK_Parsons_Jane,5.842993197278911,7.342993197278911,8.842993197278911
207.62563564084914,BAK_Parsons_Jane,5.882993197278911,7.382993197278911,8.88299319727891
207.02662602752926,BAK_Parsons_Jane,5.922993197278911,7.422993197278911,8.922993197278911
207.02662602752926,BAK_Parsons_Jane,5.962993197278911,7.462993197278911,8.962993197278912
207.02662602752926,BAK_Parsons_Jane,6.0029931972789115,7.5029931972789115,9.002993197278911
210.28890137694796,BAK_Parsons_Jane,6.0429931972789115,7.5429931972789115,9.04299319727891
210.28890137694796,BAK_Parsons_Jane,6.0829931972789115,7.5829931972789115,9.082993197278912
209.99708942295192,BAK_Parsons_Jane,6.122993197278912,7.622993197278912,9.122993197278912
209.27569808498356,BAK_Parsons_Jane,6.162993197278912,7.662993197278912,9.162993197278912
209.48322649765265,BAK_Parsons_Jane,6.202993197278912,7.702993197278912,9.20299319727891
208.6424851335235,BAK_Parsons_Jane,6.242993197278912,7.742993197278912,9.242993197278912
207.98406434392416,BAK_Parsons_Jane,6.282993197278912,7.782993197278912,9.282993197278913
207.34047367487142,BAK_Parsons_Jane,6.322993197278912,7.822993197278912,9.322993197278912
206.58373750024356,BAK_Parsons_Jane,6.362993197278912,7.862993197278912,9.36299319727891
205.70014293665457,BAK_Parsons_Jane,6.402993197278912,7.902993197278912,9.402993197278912
205.13946593085345,BAK_Parsons_Jane,6.442993197278912,7.942993197278912,9.442993197278913
203.90656806261114,BAK_Parsons_Jane,6.482993197278912,7.982993197278912,9.482993197278912
201.70645767078886,BAK_Parsons_Jane,6.522993197278912,8.022993197278911,9.522993197278911
201.54055906587897,BAK_Parsons_Jane,6.562993197278912,8.062993197278912,9.562993197278912
201.68899994558086,BAK_Parsons_Jane,6.602993197278912,8.102993197278913,9.602993197278913
201.99727660543337,BAK_Parsons_Jane,6.642993197278911,8.142993197278912,9.642993197278912
201.49630625543583,BAK_Parsons_Jane,6.682993197278911,8.182993197278911,9.682993197278911
200.90818422938472,BAK_Parsons_Jane,6.722993197278911,8.22299319727891,9.72299319727891
200.1851270399639,BAK_Parsons_Jane,6.762993197278911,8.262993197278911,9.762993197278911
199.0598261486426,BAK_Parsons_Jane,6.802993197278911,8.302993197278912,9.802993197278912
198.1837918857294,BAK_Parsons_Jane,6.842993197278911,8.342993197278911,9.842993197278911
196.41630841003027,BAK_Parsons_Jane,6.882993197278911,8.38299319727891,9.88299319727891
195.39114156204465,BAK_Parsons_Jane,6.922993197278911,8.422993197278911,9.922993197278911
194.3009015963725,BAK_Parsons_Jane,6.962993197278911,8.462993197278912,9.962993197278912
192.2159094990299,BAK_Parsons_Jane,7.0029931972789115,8.502993197278911,10.002993197278911
187.77252031988408,BAK_Parsons_Jane,7.0429931972789115,8.54299319727891,10.04299319727891
183.72961768470097,BAK_Parsons_Jane,7.0829931972789115,8.582993197278912,10.082993197278912
183.0925836509815,BAK_Parsons_Jane,7.122993197278912,8.622993197278912,10.122993197278912
182.9050565330001,BAK_Parsons_Jane,7.162993197278912,8.662993197278912,10.162993197278912
