mean,speaker,start_second,t_center,t_end
93.37232748438231,SAC_Arghittu_Allen,49.71,51.21,52.71
93.37232748438231,SAC_Arghittu_Allen,49.75,51.25,52.75
93.2830153197056,SAC_Arghittu_Allen,49.79,51.29,52.79
93.2642933202937,SAC_Arghittu_Allen,49.83,51.33,52.83
93.28698686128605,SAC_Arghittu_Allen,49.87,51.37,52.87
93.27995268025163,SAC_Arghittu_Allen,49.91,51.41,52.91
93.27995268025163,SAC_Arghittu_Allen,49.95,51.45,52.95
93.27995268025163,SAC_Arghittu_Allen,49.99,51.49,52.99
93.19753037361956,SAC_Arghittu_Allen,50.03,51.53,53.03
93.17123443989529,SAC_Arghittu_Allen,50.07,51.57,53.07
93.1530745128639,SAC_Arghittu_Allen,50.11,51.61,53.11
93.1530745128639,SAC_Arghittu_Allen,50.15,51.65,53.15
93.1530745128639,SAC_Arghittu_Allen,50.19,51.69,53.19
93.98442760625107,SAC_Arghittu_Allen,50.23,51.73,53.23
97.47633632379619,SAC_Arghittu_Allen,50.27,51.77,53.27
101.12774745808308,SAC_Arghittu_Allen,50.31,51.81,53.31
105.03555954473457,SAC_Arghittu_Allen,50.35,51.85,53.35
109.41965338974178,SAC_Arghittu_Allen,50.39,51.89,53.39
113.91274482543216,SAC_Arghittu_Allen,50.43,51.93,53.43
113.37936201157864,SAC_Arghittu_Allen,50.47,51.97,53.47
113.8789343447619,SAC_Arghittu_Allen,50.51,52.01,53.51
114.42496495321411,SAC_Arghittu_Allen,50.55,52.05,53.55
120.6218677603915,SAC_Arghittu_Allen,50.59,52.09,53.59
121.95614124269896,SAC_Arghittu_Allen,50.63,52.13,53.63
122.31975790514134,SAC_Arghittu_Allen,50.67,52.17,53.67
123.07969714544144,SAC_Arghittu_Allen,50.71,52.21,53.71
125.69466305736337,SAC_Arghittu_Allen,50.75,52.25,53.75
128.67020136086737,SAC_Arghittu_Allen,50.79,52.29,53.79
